Unknown command: '127.0.0.1:8001'
Type 'manage.py help' for usage.
[04/Mar/2016 21:17:24] "GET / HTTP/1.0" 200 10201
[04/Mar/2016 21:17:45] "POST /new2/ HTTP/1.0" 200 43
[04/Mar/2016 21:17:45] "GET / HTTP/1.0" 200 10738
[04/Mar/2016 21:17:47] "GET /gets/?id=18 HTTP/1.0" 200 406
[04/Mar/2016 21:17:49] "GET /gets/?id=18 HTTP/1.0" 200 407
[04/Mar/2016 21:17:51] "GET /gets/?id=18 HTTP/1.0" 200 407
[04/Mar/2016 21:17:53] "GET /gets/?id=18 HTTP/1.0" 200 407
[04/Mar/2016 21:17:55] "GET /gets/?id=18 HTTP/1.0" 200 407
[04/Mar/2016 21:17:57] "GET /gets/?id=18 HTTP/1.0" 200 407
[04/Mar/2016 21:17:59] "GET /gets/?id=18 HTTP/1.0" 200 407
[04/Mar/2016 21:18:01] "GET /gets/?id=18 HTTP/1.0" 200 407
[04/Mar/2016 21:18:03] "GET /gets/?id=18 HTTP/1.0" 200 407
[04/Mar/2016 21:18:05] "GET /gets/?id=18 HTTP/1.0" 200 407
[04/Mar/2016 21:18:07] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:09] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:11] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:13] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:15] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:17] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:19] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:21] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:23] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:25] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:27] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:29] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:31] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:33] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:35] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:37] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:39] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:41] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:43] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:45] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:47] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:49] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:51] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:53] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:55] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:57] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:18:59] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:01] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:03] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:05] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:07] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:09] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:11] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:13] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:15] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:17] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:19] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:21] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:23] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:25] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:27] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:29] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:31] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:33] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:35] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:37] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:39] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:41] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:43] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:45] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:47] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:49] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:51] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:53] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:55] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:57] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:19:59] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:01] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:03] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:05] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:07] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:09] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:11] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:13] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:15] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:17] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:19] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:21] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:23] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:25] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:27] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:29] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:31] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:33] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:35] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:37] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:39] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:41] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:43] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:45] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:47] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:49] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:51] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:53] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:55] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:57] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:20:59] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:21:01] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:21:03] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:21:05] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:21:07] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:21:09] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:21:11] "GET /gets/?id=18 HTTP/1.0" 200 449
[04/Mar/2016 21:21:13] "GET /gets/?id=18 HTTP/1.0" 200 449
Not Found: /del
